FORMULA	SMILES	INCHIKEY
C12H17N3O4S	[H]C(=N)NCCSC1=C(N2C(=O)[C@]([H])([C@@H](C)O)[C@@]2([H])C1)C(O)=O	ZSKVGTPCRGIANV-ZXFLCMHBSA-N	
C30H42N2O9	CO[C@H]1C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1OC)C2=O	MCAHMSDENAOJFZ-BVXDHVRPSA-N	
C34H46ClN3O10	CO[C@@H]1\C=C\C=C(C)\Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(C)=O)[C@]2(C)O[C@H]2[C@H](C)[C@@H]2C[C@@]1(O)NC(=O)O2	WKPWGQKGSOKKOO-RSFHAFMBSA-N	
C51H79NO13	[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)C[C@@H](C)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	QFJCIRLUMZQUOT-HPLJOQBZSA-N	
C13H17N5O8S2	C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c2csc([NH3+])n2)C(=O)N1S([O-])(=O)=O	WZPBZJONDBGPKJ-VEHQQRBSSA-N	
C18H23N9O4S3	[H][C@]12SCC(CSc3nnnn3CCN(C)C)=C(N1C(=O)[C@@]2([H])NC(=O)Cc1csc(N)n1)C(O)=O	QYQDKDWGWDOFFU-IUODEOHRSA-N	
C30H34ClN7O10S2	[H][C@]12SCC(C[N+]3(CCNC(=O)C4=CC=C(O)C(O)=C4Cl)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O	DBPPRLRVDVJOCL-FQRUVTKNSA-N	
C3NO	C1(C(N(C1(*)*)*)=O)(*)*		
C4NO	C1(C(C(C(N1*)(*)*)(*)*)(*)*)=O		
C5NO	C1(C(C(C(C(N1*)(*)*)(*)*)(*)*)(*)*)=O		
C7H8NO3R	N12[C@](CCC1C(=O)O)(C(C2=O)*)[H]		
C3H5NO	O=C1CCN1	MNFORVFSTILPAW-UHFFFAOYSA-N	
C12H14N6O10S2	NC(=O)OC[C@@H]1[C@H](NC(=O)C(=N/OCC(O)=O)\c2csc(N)n2)C(=O)N1S(O)(=O)=O	UIMOJFJSJSIGLV-JNHMLNOCSA-N	
C16H15N7O5S4	[H][C@]12SCC(CSc3cnns3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O	CXHKZHZLDMQGFF-ZSDSSEDPSA-N	
C4H7N3O	CN1CC(=O)NC1=N	DDRJAANPRJIHGJ-UHFFFAOYSA-N	
C5H6NO2R	[*]C1[C@H]2OCCN2C1=O		
(C6H11NO)n.C6H11NO			
C13H19N5O9S2	C[C@H](NS(O)(=O)=O)[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c1csc(N)n1)C(O)=O	IBLNMEMSULYOOK-VEHQQRBSSA-N	
C5H10N2O	NC1CCCNC1=O	YCCMTCQQDULIFE-UHFFFAOYSA-N	
C18H33ClN2O5S	CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O	KDLRVYVGXIQJDK-NOWPCOIGSA-N	
C28H47NO8	CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@]1(C)O	UZQBOFAUUTZOQE-VSLWXVDYSA-N	
C14H20O4	[H]C(=O)[C@H]1C(C[C@@H](O)[C@@H](O)C1=O)\C=C\C=C\CCC	MHZVWXOKIRZLCJ-RVZXZRSKSA-N	
C55H85N19O21S2	C[C@@H]([C@H](O)[C@@H](CCO)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)N[C@H](C(=O)NCCC1=N[C@H](CS1)c1nc(cs1)C(=O)NCCC(N)=N)C(C)(C)O	UJKRUPHWCPAJIL-CPLCKGKLSA-N	
C59H84Cl2O32	[H][C@]12CO[C@@H](O[C@@H]3O[C@H](COC)[C@@H](O[C@@H]4O[C@H](C)[C@H](OC)[C@H](O[C@H]5C[C@@]6(C)O[C@@]7(C[C@@H](O)[C@H](O[C@H]8C[C@@H](O)[C@H](OC(=O)c9c(C)c(Cl)c(O)c(Cl)c9OC)[C@@H](C)O8)[C@@H](C)O7)O[C@]6([H])[C@@H](C)O5)[C@H]4O)[C@H](O)[C@@H]3OC)[C@H](OC(C)=O)[C@]1([H])O[C@]1(O[C@H](C)[C@](O)([C@@H]3OCO[C@@H]13)C(C)=O)O2	VVIAOPGTVSECTI-QPNFVAJLSA-N	
C28H47NO9	C[C@@H](O)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@]1(C)O	JGNNRPWTNULSRW-BLNRMBNUSA-N	
C19H36N8O9	[H][C@@]1(N\C(N[C@]1([H])C(O)=O)=N/[C@@H]1O[C@H](CO)[C@H](OC(N)=O)[C@@H](O)[C@H]1NC(=O)C[C@@H](N)CCCN)[C@H](O)CN	AJUBASUIRHJEOK-AQLSXGMYSA-N	
C31H60N12O11	[H][C@@]1(N\C(N[C@]1([H])C(O)=O)=N/[C@@H]1O[C@H](CO)[C@H](OC(N)=O)[C@@H](O)[C@H]1NC(=O)C[C@@H](N)CCCNC(=O)C[C@@H](N)CCCNC(=O)C[C@@H](N)CCCN)[C@H](O)CN	DLWGZGTWTREZQM-UFFKCXTPSA-N	
C59H87N5O10Si	CCCCCCCCCCCCCCCC(=O)N(O)CCCCC(NC(=O)C1(C)COC(=N1)c1ccccc1O)C(=O)OC(C)CC(=O)NC1CCCCN(O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1=O	WYBPZAANEVFNDD-UHFFFAOYSA-N	
C9H13N2O5SR	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC([*])=O)C(O)=O		
C16H19N2O4S	N1[C@H](C(S[C@]1([H])[C@H](NC(CC2=CC=CC=C2)=O)C(=O)*)(C)C)C(O)=O		
C16H19N2O5S	N1[C@H](C(S[C@]1([H])[C@H](NC(COC=2C=CC=CC2)=O)C(=O)*)(C)C)C(O)=O		
C16H20N3O4S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=CC=C2)N)=O)C(=O)*)(C)C)C(O)=O		
C16H20N3O5S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=C(C=C2)O)N)=O)C(=O)*)(C)C)C(O)=O		
C16H19N2O7S2	[C@H]([C@@]1(N[C@H](C(S1)(C)C)C(O)=O)[H])(C(=O)*)NC(=O)C(C2=CC=CC=C2)S(=O)(=O)O		
C17H19N2O6S	C=1C=CC(=CC1)C(C(=O)N[C@@H]([C@@]2(N[C@H](C(S2)(C)C)C(O)=O)[H])C(=O)*)C(O)=O		
C16H18N5O4S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=CC=C2)N=[N+]=[N-])=O)C(=O)*)(C)C)C(O)=O		
C17H21N2O5S	N1[C@H](C(S[C@]1([H])[C@H](NC(=O)C(C)OC=2C=CC=CC2)C(=O)*)(C)C)C(O)=O		
C19H18ClFN3O5S	N(C(=O)C=1C(=NOC1C)C2=C(C=CC=C2F)Cl)[C@@H]([C@@]3(N[C@H](C(S3)(C)C)C(O)=O)[H])C(=O)*		
C16H21N3O6S	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O	LHHKJQFIKHAUIA-MPPDQPJWSA-N	
C17H21N2O6S	N1[C@H](C(S[C@]1([H])[C@H](NC(C2=C(C=CC=C2OC)OC)=O)C(=O)*)(C)C)C(O)=O		
C5H9NO	O=C1CCCCN1	XUWHAWMETYGRKB-UHFFFAOYSA-N	
C6H9NO3	O=C(O)C1CCCC(=O)N1	FZXCPFJMYOQZCA-UHFFFAOYSA-N	
C15H20N2O3S	N1[C@H](C(S[C@]1([H])CNC(CC2=CC=CC=C2)=O)(C)C)C(O)=O	LRWFMQCGNBOTQP-OLZOCXBDSA-N	
C23H28N5O7S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=CC=C2)NC(N3CC(NC(C3=O)=O)CC)=O)=O)C(=O)*)(C)C)C(O)=O		
C24H36N2O9S	COC(C)C(NC(=O)[C@@H]1CCCN1C)[C@H]2O[C@H](SCCOC(=O)C3=CC=CC=C3O)[C@H](O)[C@@H](O)[C@H]2O	VMSQKUCYEMOKMM-AFJAYNRNSA-N	
C38H72N2O12	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	MQTOSJVFKKJCRP-BICOPXKESA-N	
C18H34N2O6S	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O	OJMMVQQUTAEWLP-KIDUDLJLSA-N	
C17H26N8O5; C17H26N8O5	CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(O)=O)n1ccc(N)nc1=O)C(N)=N	CXNPLSGKWMLZPZ-ZNIXKSQXSA-N	
C31H36N2O11	CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C	YJQPYGGHQPGBLI-KGSXXDOSSA-N	
C58H44Cl3N7O21S	N[C@@H]1c2ccc(OS(O)(=O)=O)c(Oc3cc(O)cc(c3)[C@@H]3NC(=O)[C@H](Cc4ccc(Oc5cc6cc(Oc7ccc(cc7Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]6NC3=O)c3cc(Cl)c(O)c(c3)-c3c(O)cc(O)cc3[C@@H](NC7=O)C(O)=O)c5O)c(Cl)c4)NC1=O)c2	HRGFAEUWEMDRRZ-RIZHWKQXSA-N	
C73H88Cl2N10O26	CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O[C@H]5C[C@](C)(N)[C@@H](O)[C@H](C)O5)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)c(Cl)c2	XJHXLMVKYIVZTE-LOALFDMRSA-N	
C25H43NO7	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@]1(C)O	HUKYPYXOBINMND-HYUJHOPRSA-N	
C25H43NO7	C[C@@H](O)[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]1C	UEIVQYHYALXCBD-OTUJEKPESA-N	
C37H47NO12	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)cc(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C	HJYYPODYNSCCOU-ODRIEIDWSA-N	
C45H76N2O15	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O	ZPCCSZFPOXBNDL-RSMXASMKSA-N	
C53H52Cl2N8O17	CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O)c(Cl)c2	JHIKFOISFAQTJQ-YZANBJIASA-N	
C25H43NO8	C[C@@H](O)[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@]1(C)O	HYJMTIGQCJGKFQ-CGNAQTDSSA-N	
C16H19N3O6	COC1=C(C)C(=O)C2=C([C@H](COC(N)=O)[C@@]3(O)[C@@H]4[C@H](CN23)N4C)C1=O	UZUUQCBCWDBYCG-DQRAMIIBSA-N	
C28H47NO8	C[C@@H](O)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]1C	SXXXXTQMWPXIES-VJNSTPMQSA-N	
C34H54O8	[H][C@@]1(O[C@@](CC)(C[C@@H]1C)[C@@]1([H])CC[C@](O)(CC)[C@H](C)O1)[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCC1=C(C(O)=O)C(O)=C(C)C=C1	BBMULGJBVDDDNI-OWKLGTHSSA-N	
C34H35ClN2O11	C12=C(C(=C(C(O1)=O)NC(C=3C=C(C(=CC3)O)CC=C(C)C)=O)O)C=CC(=C2Cl)O[C@H]4[C@@H]([C@@H]([C@@H](OC)C(O4)(C)C)OC(=O)C=5NC=CC5)O	PKUNXGQLUGXWJB-ZQZBKPNISA-N	
C17H18N2O6S	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)c1ccccc1)C(O)=O	FPPNZSSZRUTDAP-UWFZAAFLSA-N	
C19H19N3O5S	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1)C(O)=O	UWYHMGVUTGAWSP-JKIFEVAISA-N	
C23H38O5	CC[C@H]1C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@H](C)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O	YJSXTLYNFBFHAT-HJOMEYPASA-N	
C8H13N2O3S	N1[C@H](C(S[C@]1([H])[C@H](N)C(=O)*)(C)C)C(O)=O		
C9H13N2O4S	N1[C@H](C(S[C@]1([H])[C@H](NC(=O)[H])C(=O)*)(C)C)C(O)=O		
C19H25N3O6S2	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CS)C(O)=O	ZKVQVUUPDWIKAR-ZGMNHVEMSA-N	
C13H18N5O8S2	[C@H](NC(=O)/C(/C1=CSC(=N1)N)=N\OC(C(=O)O)(C)C)([C@H](C)NS(O)(=O)=O)C(=O)*		
C13H19N2O4S2	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)CSCC=C)C(C)=O		
C17H19N2O6S	N1([C@H](C(S[C@]1([H])[C@H](NC(CC2=CC=CC=C2)=O)C(=O)O)(C)C)C(O)=O)C(=O)*		
C26H42N2O6	N1(C(C(C/C=C\CCCC(=O)O)=C(C1=O)\C=C\[C@H](CCCCC)O)C)CCCC[C@@H](C(=O)O)N	JDBQHWGQSADILV-ZATLTPIUSA-N	
C20H27N5O2	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1	RRGUKTPIGVIEKM-UHFFFAOYSA-N	
C3H2NOR3	C1(C(N(*)C1*)=O)*		
C5H7NOS	[H][C@@]12CC(=O)N1CCS2	WSHJJCPTKWSMRR-RXMQYKEDSA-N	
C15H24N2O7S	CC(C)[C@H](O)[C@]1(NC(=O)[C@H](C)[C@@H]1O)C(=O)SC[C@H](NC(C)=O)C(O)=O	DAQAKHDKYAWHCG-RWTHQLGUSA-N	
C20H30N4O5S	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C(=O)NCCCC	SHISHHBVUCCUJC-ZXFNITATSA-N	
C34H49N5O12	COC(=O)CCCCCC(=O)N(O)CCCCC(NC(=O)C1COC(=N1)c1ccccc1O)C(=O)OC(C)CC(=O)NC1CCCCN(O)C1=O	CICZEXPNYSZNEI-UHFFFAOYSA-N	
C47H75N5O8	CCCCCCCCCCCCCCCCC\C=C/C(=O)NCCCCC(NC(=O)C1(C)COC(=N1)c1ccccc1O)C(=O)OC(C)CC(=O)NC1CCCCNC1=O	JLBSVDZUWJLOCF-GTWSWNCMSA-N	
C27H42N2O5S	[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\c1csc(C)n1	FABUFPQFXZVHFB-PVYNADRNSA-N	
C34H27Br5N4O8	O\N=C1/Cc2cc(Br)c(Oc3cc(C\C(C(=O)NCCc4ccc(Br)c(Oc5ccc(CCNC1=O)c(Br)c5O)c4)=N/O)cc(Br)c3O)c(Br)c2	RINLQEBBENMFQH-FFVIWPAXSA-N	
C34H25Br5N4O8	O\N=C1/Cc2cc(Br)c(Oc3cc(C\C(C(=O)N\C=C\c4ccc(Br)c(Oc5ccc(CCNC1=O)c(Br)c5O)c4)=N/O)cc(Br)c3O)c(Br)c2	NWOWVTKBRVUTEE-PBUNXQQKSA-N	
C35H47NO10	C[C@H]1\C=C\C=C(C)/C(=O)NC2=CC(=O)C3=C(C(O)C(C)C(O)=C3C(=O)\C(C)=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O)C2=O	MHOUUNHTVCQAIF-BTYVTDDSSA-N	
C20H18N2O5R2	C=1C=CC=C(C1)CC2(C3=C(C(N4C2(CCC4=O)O)C(N*)=O)C=C(C=C3O)O)*		
C47H73NO17	[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2	APKFDSVGJQXUKY-INPOYWNPSA-N	
C22H20N4O8S2	[H][C@]12SCC(C[n+]3ccc(cc3)C(N)=O)=C(N1C(=O)[C@H]2NC(=O)[C@@H](c1ccccc1)S(O)(=O)=O)C([O-])=O	SYLKGLMBLAAGSC-QLVMHMETSA-N	
C25H43N13O10	[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O	GXFAIFRPOKBQRV-GHXCTMGLSA-N	
C22H24N2O8	[H][C@@]12C[C@@]3([H])C(C(=O)c4c(O)cccc4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C	OFVLGDICTFRJMM-WESIUVDSSA-N	
C31H48O6	[H][C@@]12CC[C@@]3(C)[C@@]([H])([C@H](O)C[C@@]4([H])\C([C@H](C[C@]34C)OC(C)=O)=C(/CCC=C(C)C)C(O)=O)[C@@]1(C)CC[C@@H](O)[C@H]2C	IECPWNUMDGFDKC-MZJAQBGESA-N	
C32H43ClN2O9	[H][C@@]12C[C@@](O)(NC(=O)O1)[C@H](OC)\C=C\C=C(C)\Cc1cc(OC)c(Cl)c(c1)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@@]1([H])[C@@H]2C	OPQNCARIZFLNLF-JBHFWYGFSA-N	
C27H29NO11	CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3c(O)c2[C@H]1C(O)=O	MMYTYGXIKKVLES-AGMCFEMXSA-N	
